86346,202,AUTO,119,MTWTH,12:45 PM,02:35 PM,AT113
86346,202,AUTO,119,MTWTH,02:45 PM,04:35 PM,AT 116
86347,203,AUTO,119,T,06:00 PM,07:50 PM,AT138
86347,203,AUTO,119,T,08:00 PM,09:50 PM,AT135
86348,201,AUTO,120,TWTH,01:00 PM,02:10 PM,AT141
86348,201,AUTO,120,TWTH,02:20 PM,04:55 PM,AT 129
86349,201,AUTO,121,TWTH,01:00 PM,01:50 PM,AT141
86349,201,AUTO,121,TWTH,02:00 PM,04:50 PM,AT 129
86350,201,AUTO,127,MTWTH,07:15 AM,09:05 AM,AT121
86350,201,AUTO,127,MTWTH,09:15 AM,01:05 PM,AT128
86351,201,AUTO,129,MTWTH,07:30 AM,08:20 AM,AT121
86351,201,AUTO,129,MTWTH,08:30 AM,12:50 PM,AT128
87401,201,AUTO,132B,T,06:00 PM,10:35 PM,AT128
86353,201,AUTO,135,TWTH,01:00 PM,02:50 PM,AT141
86353,201,AUTO,135,TWTH,03:00 PM,04:50 PM,AT 129
86354,201,AUTO,138,,,,
86355,202,AUTO,138,,,,
86356,203,AUTO,138,,,,
86357,204,AUTO,138,,,,
86358,205,AUTO,138,,,,
86360,201,AUTO,141,TTH,06:00 PM,09:35 PM,AT121
86361,201,AUTO,145,TTH,06:00 PM,10:05 PM,AT121
86362,201,AUTO,170,MTWTH,07:30 AM,09:35 AM,AT121
86362,201,AUTO,170,MTWTH,09:45 AM,01:00 PM,AT128
86363,201,AUTO,171,MW,06:30 PM,08:35 PM,AT138
86363,201,AUTO,171,MW,08:45 PM,10:10 PM,AT138
86364,202,AUTO,171,WTH,01:30 PM,03:20 PM,AT138
86364,202,AUTO,171,WTH,03:30 PM,04:50 PM,AT 134
86365,201,AUTO,172,M,04:45 PM,06:35 PM,AT143
86365,201,AUTO,172,M,06:45 PM,08:35 PM,AT 129
86366,201,AUTO,173,W,06:00 PM,09:35 PM,C102
86368,201,AUTO,181A,TTH,06:30 PM,07:55 PM,AT141
86368,201,AUTO,181A,TTH,08:05 PM,09:30 PM,AT143
86369,201,AUTO,181B,TTH,06:00 PM,07:50 PM,AT141
86369,201,AUTO,181B,TTH,07:55 PM,10:45 PM,AT138
86367,201,AUTO,202,W,01:15 PM,02:05 PM,AT121
86367,201,AUTO,202,W,02:15 PM,05:20 PM,AT121
86065,201,BIM,121,F,06:00 PM,09:05 PM,AB103
86066,201,BIM,124,S,08:00 AM,08:50 AM,AB121
86066,201,BIM,124,S,09:00 AM,03:10 PM,AB101
86236,201,BIM,138,,,,SC214
85944,201,BIOL,004A,MW,09:15 AM,10:35 AM,AF231
85944,201,BIOL,004A,MW,11:00 AM,02:05 PM,S113
85945,202,BIOL,004A,MW,09:15 AM,10:35 AM,AF231
85945,202,BIOL,004A,MW,02:15 PM,05:20 PM,S113
85946,203,BIOL,004A,TTH,05:00 PM,06:20 PM,S160
85946,203,BIOL,004A,TTH,06:30 PM,09:35 PM,S113
85947,201,BIOL,004B,TTH,09:15 AM,10:35 AM,S113
85947,201,BIOL,004B,TTH,11:15 AM,02:20 PM,S113
85948,201,BIOL,020,MW,09:15 AM,10:35 AM,AC162
85948,201,BIOL,020,M,10:45 AM,01:50 PM,S127
85949,202,BIOL,020,MW,09:15 AM,10:35 AM,AC162
85949,202,BIOL,020,W,10:45 AM,01:50 PM,S127
85950,203,BIOL,020,MW,04:30 PM,05:50 PM,AC162
85950,203,BIOL,020,M,06:00 PM,09:05 PM,S127
85951,204,BIOL,020,MW,04:30 PM,05:50 PM,AC162
85951,204,BIOL,020,W,06:00 PM,09:05 PM,S127
85952,201,BIOL,021,MW,09:15 AM,10:35 AM,S160
85952,201,BIOL,021,M,10:45 AM,01:50 PM,S112
85953,202,BIOL,021,MW,09:15 AM,10:35 AM,S160
85953,202,BIOL,021,W,10:45 AM,01:50 PM,S112
85954,203,BIOL,021,TTH,09:15 AM,10:35 AM,S160
85954,203,BIOL,021,T,10:45 AM,01:50 PM,S112
85955,204,BIOL,021,TTH,09:15 AM,10:35 AM,S160
85955,204,BIOL,021,TH,10:45 AM,01:50 PM,S112
85956,205,BIOL,021,MW,05:00 PM,06:20 PM,S160
85956,205,BIOL,021,M,06:30 PM,09:35 PM,S112
